iter	RMSE
0	2.368723214
1	2.364940555
2	2.361306992
3	2.358194365
4	2.35552834
5	2.353189195
6	2.350630064
7	2.348266507
8	2.345152902
9	2.343740985
10	2.341763708
11	2.339414777
12	2.337397702
13	2.335589427
14	2.333700983
15	2.332770724
16	2.330485062
17	2.329451987
18	2.327815697
19	2.325268469
20	2.324163507
21	2.323190049
22	2.322171618
23	2.321139854
24	2.320067356
25	2.319366073
26	2.318758109
27	2.318164752
28	2.317121398
29	2.316484538
30	2.315344064
31	2.313915147
32	2.313239517
33	2.312621914
34	2.312243945
35	2.311302976
36	2.311098294
37	2.310387724
38	2.309339219
39	2.308439381
40	2.307995076
41	2.307407484
42	2.306494248
43	2.306078112
44	2.305460334
45	2.304278598
46	2.303290065
47	2.302773483
48	2.30205341
49	2.301456203
50	2.300434672
51	2.300122867
52	2.299724907
53	2.298911907
54	2.298756453
55	2.298279231
56	2.298033311
57	2.297675416
58	2.297498255
59	2.297145899
60	2.296723647
61	2.295841873
62	2.295409183
63	2.295083648
64	2.294780403
65	2.294496836
66	2.294072382
67	2.293790495
68	2.293171429
69	2.292406383
70	2.292102775
71	2.291673453
72	2.291184085
73	2.290798814
74	2.290629072
75	2.290126318
76	2.289557075
77	2.289298435
78	2.288708315
79	2.288357618
80	2.288245635
81	2.288086323
82	2.287693474
83	2.287119458
84	2.286857972
85	2.286038643
86	2.285700424
87	2.285444042
88	2.285172883
89	2.284870082
90	2.284078091
91	2.283860115
92	2.283530587
93	2.283466246
94	2.2832013
95	2.28270357
96	2.28241069
97	2.281393527
98	2.281128542
99	2.280734082
100	2.280585445
101	2.280225383
102	2.279853882
103	2.279544733
104	2.279327185
105	2.279172918
106	2.278176436
107	2.277847539
108	2.277727761
109	2.277217512
110	2.276896832
111	2.275973324
112	2.275453642
113	2.275140936
114	2.274886225
115	2.274633908
116	2.274338556
117	2.274026634
118	2.273729583
119	2.273351286
120	2.273168393
121	2.272959739
122	2.272746463
123	2.272430128
124	2.272064305
125	2.271418649
126	2.271105625
127	2.270658391
128	2.270439385
129	2.27010695
130	2.269464636
131	2.269291712
132	2.268703874
133	2.26845716
134	2.26812778
135	2.267527487
136	2.267198374
137	2.266781832
138	2.266543459
139	2.266249188
140	2.265722659
141	2.265493035
142	2.265137809
143	2.264618433
144	2.264166344
145	2.263656702
146	2.263391222
147	2.263189555
148	2.262588308
149	2.262150259
150	2.261850225
151	2.261728611
152	2.261440882
153	2.261040482
154	2.260935019
155	2.260380197
156	2.260114094
157	2.259684312
158	2.25936716
159	2.258867157
160	2.25835916
161	2.258084886
162	2.257796414
163	2.257556587
164	2.257273254
165	2.2567413
166	2.256114514
167	2.255619175
168	2.255220836
169	2.254669324
170	2.254516061
171	2.254266902
172	2.253830007
173	2.253587374
174	2.253360728
175	2.253233537
176	2.2528961
177	2.252670756
178	2.252428603
179	2.252319047
180	2.252042704
181	2.251754886
182	2.251504193
183	2.251014053
184	2.250758965
185	2.250454665
186	2.250152987
187	2.249892903
188	2.249587665
189	2.249046288
190	2.24872801
191	2.248505599
192	2.248228087
193	2.247864974
194	2.247622789
195	2.247216334
196	2.247052308
