iter	Passed	Remaining
0	62	313897
1	74	187187
2	85	142961
3	96	120171
4	106	105961
5	116	96577
6	126	90445
7	137	85516
8	148	82303
9	160	80252
10	172	78070
11	183	76458
12	194	74424
13	203	72564
14	213	70952
15	225	70360
16	236	69190
17	246	68087
18	255	67029
19	265	66133
20	275	65281
21	285	64505
22	294	63741
23	304	63120
24	314	62568
25	324	62059
26	334	61562
27	344	61149
28	354	60759
29	364	60382
30	374	59994
31	384	59662
32	395	59552
33	406	59352
34	417	59181
35	427	58990
36	440	59107
37	450	58847
38	461	58650
